Combination: (0,), Degree: 1
Mean Squared Error (Combination (1, 2), Degree 3): 0.5434151411058581
Combination: (1, 3), Degree: 1
Mean Squared Error (Combination (1, 3), Degree 1): 0.5584214203970087
Combination: (1, 3), Degree: 2
Mean Squared Error (Combination (1, 3), Degree 2): 0.5514931149151887
Combination: (1, 3), Degree: 3
Mean Squared Error (Combination (1, 3), Degree 3): 0.5486679949572468
Combination: (1, 4), Degree: 1
Mean Squared Error (Combination (1, 4), Degree 1): 0.5522318789850759
Combination: (1, 4), Degree: 2
Mean Squared Error (Combination (1, 4), Degree 2): 0.5480584526070421
Combination: (1, 4), Degree: 3
Mean Squared Error (Combination (1, 4), Degree 3): 0.5413677738334283
Combination: (1, 5), Degree: 1
Mean Squared Error (Combination (1, 5), Degree 1): 0.5563517999298496
Combination: (1, 5), Degree: 2
Mean Squared Error (Combination (1, 5), Degree 2): 0.5520078534485959
Combination: (1, 5), Degree: 3
Mean Squared Error (Combination (1, 5), Degree 3): 0.5496199352575744
Combination: (1, 6), Degree: 1
Mean Squared Error (Combination (1, 6), Degree 1): 0.5363987208011626
Combination: (1, 6), Degree: 2
Mean Squared Error (Combination (1, 6), Degree 2): 0.5286481473769647
Combination: (1, 6), Degree: 3
Mean Squared Error (Combination (1, 6), Degree 3): 0.5233176411487159
Combination: (1, 7), Degree: 1
Mean Squared Error (Combination (1, 7), Degree 1): 0.5410987234166148
Combination: (1, 7), Degree: 2
Mean Squared Error (Combination (1, 7), Degree 2): 0.5283457938417517
Combination: (1, 7), Degree: 3
Mean Squared Error (Combination (1, 7), Degree 3): 0.5787846588609079
Combination: (1, 8), Degree: 1
Mean Squared Error (Combination (1, 8), Degree 1): 0.5601216972231285
Combination: (1, 8), Degree: 2
Mean Squared Error (Combination (1, 8), Degree 2): 0.5558232574280475
Combination: (1, 8), Degree: 3
Mean Squared Error (Combination (1, 8), Degree 3): 0.553306280859174
Combination: (1, 9), Degree: 1
Mean Squared Error (Combination (1, 9), Degree 1): 0.5504631863109675
Combination: (1, 9), Degree: 2
Mean Squared Error (Combination (1, 9), Degree 2): 0.5200767506890193
Combination: (1, 9), Degree: 3
Mean Squared Error (Combination (1, 9), Degree 3): 0.5079348680694158
Combination: (1, 10), Degree: 1
Mean Squared Error (Combination (1, 10), Degree 1): 0.4361783363492375
Combination: (1, 10), Degree: 2
Mean Squared Error (Combination (1, 10), Degree 2): 0.4341138559590512
Combination: (1, 10), Degree: 3
Mean Squared Error (Combination (1, 10), Degree 3): 0.4268341857818603
Combination: (2, 3), Degree: 1
Mean Squared Error (Combination (2, 3), Degree 1): 0.6204954684046191
Combination: (2, 3), Degree: 2
Mean Squared Error (Combination (2, 3), Degree 2): 0.6201925255865353
Combination: (2, 3), Degree: 3
Mean Squared Error (Combination (2, 3), Degree 3): 0.6095427997460916
Combination: (2, 4), Degree: 1
Mean Squared Error (Combination (2, 4), Degree 1): 0.6025069051598821
Combination: (2, 4), Degree: 2
Mean Squared Error (Combination (2, 4), Degree 2): 0.5987624603048527
Combination: (2, 4), Degree: 3
Mean Squared Error (Combination (2, 4), Degree 3): 0.5838566073827324
Combination: (2, 5), Degree: 1
Mean Squared Error (Combination (2, 5), Degree 1): 0.6183849111925239
Combination: (2, 5), Degree: 2
Mean Squared Error (Combination (2, 5), Degree 2): 0.6175192510833243
Combination: (2, 5), Degree: 3
Mean Squared Error (Combination (2, 5), Degree 3): 0.6087517402764215
